[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
6,1000,100,80,10,64,32,1000,2211
1,1000,100,80,10,52,62,1000,2253
2,1000,100,80,10,52,50,1000,1870
3,1000,100,80,10,73,92,1000,3619
5,1000,100,80,10,54,20,1000,1247
6,1000,100,80,10,65,39,1000,2243
4,1000,100,80,10,63,95,1000,4839
3,1000,100,80,10,74,95,1000,3711
1,1000,100,80,10,53,65,1000,2315
8,1000,100,80,10,56,68,1000,2772
3,1000,100,80,10,75,96,1000,3806
6,1000,100,80,10,66,36,1000,2282
2,1000,100,80,10,53,55,1000,1920
7,1000,100,80,10,52,50,1000,1383
5,1000,100,80,10,55,24,1000,1267
6,1000,100,80,10,67,37,1000,2318
2,1000,100,80,10,54,53,1000,1975
1,1000,100,80,10,54,65,1000,2380
7,1000,100,80,10,53,51,1000,1433
5,1000,100,80,10,56,21,1000,1291
6,1000,100,80,10,68,38,1000,2355
1,1000,100,80,10,55,68,1000,2445
4,1000,100,80,10,64,98,1000,4934
6,1000,100,80,10,69,40,1000,2393
2,1000,100,80,10,55,51,1000,2028
1,1000,100,80,10,56,69,1000,2513
8,1000,100,80,10,57,68,1000,2840
5,1000,100,80,10,57,22,1000,1312
6,1000,100,80,10,70,40,1000,2433
4,1000,100,80,10,65,104,1000,5032
2,1000,100,80,10,56,49,1000,2079
7,1000,100,80,10,54,48,1000,1484
6,1000,100,80,10,71,41,1000,2473
4,1000,100,80,10,66,105,1000,5136
5,1000,100,80,10,58,21,1000,1334
3,1000,100,80,10,76,99,1000,3902
6,1000,100,80,10,72,41,1000,2514
2,1000,100,80,10,57,54,1000,2128
1,1000,100,80,10,57,69,1000,2582
8,1000,100,80,10,58,68,1000,2908
4,1000,100,80,10,67,109,1000,5241
6,1000,100,80,10,73,40,1000,2555
3,1000,100,80,10,77,98,1000,4001
5,1000,100,80,10,59,21,1000,1355
6,1000,100,80,10,74,35,1000,2595
3,1000,100,80,10,78,90,1000,4099
2,1000,100,80,10,58,49,1000,2182
7,1000,100,80,10,55,52,1000,1532
8,1000,100,80,10,59,68,1000,2976
4,1000,100,80,10,68,118,1000,5350
3,1000,100,80,10,79,86,1000,4189
1,1000,100,80,10,58,70,1000,2651
2,1000,100,80,10,59,49,1000,2231
8,1000,100,80,10,60,73,1000,3044
5,1000,100,80,10,60,23,1000,1376
